Date,Price,Open,High,Low,Vol.,Change %
23-Jan-20,"1,336.00","1,344.79","1,344.79","1,333.83",-,-0.67%
22-Jan-20,"1,344.97","1,348.19","1,353.17","1,343.41",-,-0.27%
21-Jan-20,"1,348.61","1,350.16","1,350.16","1,337.21",-,-0.14%
20-Jan-20,"1,350.56","1,352.30","1,352.82","1,348.86",-,-0.25%
17-Jan-20,"1,353.92","1,340.23","1,355.22","1,340.23",-,1.07%
16-Jan-20,"1,339.58","1,338.08","1,342.83","1,335.44",-,0.17%
15-Jan-20,"1,337.30","1,335.66","1,337.30","1,331.71",-,0.12%
14-Jan-20,"1,335.69","1,333.36","1,336.37","1,324.02",-,0.16%
13-Jan-20,"1,333.58","1,334.51","1,338.52","1,329.44",-,-0.22%
10-Jan-20,"1,336.51","1,337.85","1,341.34","1,336.50",-,-0.12%
9-Jan-20,"1,338.17","1,332.97","1,343.39","1,332.97",-,0.36%
8-Jan-20,"1,333.42","1,330.63","1,334.42","1,323.37",-,0.29%
7-Jan-20,"1,329.63","1,329.41","1,336.56","1,325.65",-,0.16%
6-Jan-20,"1,327.50","1,331.19","1,331.19","1,314.20",-,-0.35%
3-Jan-20,"1,332.14","1,333.00","1,333.00","1,322.35",-,-0.09%
2-Jan-20,"1,333.32","1,323.33","1,335.67","1,323.33",-,0.89%
31-Dec-19,"1,321.58","1,322.01","1,322.25","1,318.38",-,-0.06%
30-Dec-19,"1,322.37","1,333.63","1,333.63","1,322.37",-,-0.87%
27-Dec-19,"1,333.98","1,331.54","1,338.09","1,331.27",-,0.19%
24-Dec-19,"1,331.49","1,330.14","1,332.01","1,328.75",-,0.08%
23-Dec-19,"1,330.48","1,331.07","1,332.34","1,328.17",-,-0.09%
20-Dec-19,"1,331.74","1,318.41","1,332.01","1,318.41",-,0.96%
19-Dec-19,"1,319.03","1,317.70","1,319.87","1,313.28",-,0.18%
18-Dec-19,"1,316.61","1,316.39","1,323.22","1,315.83",-,-0.02%
17-Dec-19,"1,316.81","1,323.82","1,323.82","1,315.11",-,-0.70%
16-Dec-19,"1,326.14","1,308.29","1,329.19","1,308.29",-,1.42%
